ICC,upper bound,lower bound,variable,gap,sample
0.803780554770619,0.876808579719302,0.694940071620181,SRS,six-mo,In lab
0.515635670402502,0.676733578145678,0.308103506686393,SRS_AWR,six-mo,In lab
0.684376273020512,0.796847361533442,0.526651185368366,SRS_COG,six-mo,In lab
0.809394487326361,0.880803233667826,0.701744415596266,SRS_COM,six-mo,In lab
0.765763213820879,0.851779349083508,0.640036715337334,SRS_MOT,six-mo,In lab
0.671846985718059,0.788222837915713,0.509678506416989,SRS_RRB,six-mo,In lab
0.391198059009569,0.582339124741817,0.159736264714794,SRS_1,six-mo,In lab
0.456255418158323,0.631731278013154,0.237621475033387,SRS_2,six-mo,In lab
0.373583719196834,0.568551682334763,0.139536255008879,SRS_3,six-mo,In lab
0.418504721993956,0.603040009249568,0.192599959021752,SRS_4,six-mo,In lab
0.236372583581719,0.457314346074039,-0.0115298116499024,SRS_5,six-mo,In lab
0.334479793932151,0.537551325223887,0.0953666945623164,SRS_6,six-mo,In lab
0.358208475715346,0.555566752770045,0.124107840310064,SRS_7,six-mo,In lab
0.426661302519882,0.609643642338095,0.201320701043336,SRS_8,six-mo,In lab
0.228088443392391,0.450372963961301,-0.0203098131727439,SRS_9,six-mo,In lab
0.509605316431327,0.672277181560763,0.300675656957824,SRS_10,six-mo,In lab
0.687441089777579,0.798950095957603,0.530822051914663,SRS_11,six-mo,In lab
0.596098788316213,0.735285295963658,0.408662513080587,SRS_12,six-mo,In lab
0.589240666151595,0.729708461524933,0.402178133438293,SRS_13,six-mo,In lab
0.590016365309877,0.730463019865956,0.40269658725929,SRS_14,six-mo,In lab
0.337054665524567,0.539609426323925,0.0982469515994005,SRS_15,six-mo,In lab
0.541857763297004,0.695184403382634,0.342844051926139,SRS_16,six-mo,In lab
0.137535797561481,0.370990518874936,-0.110591866276962,SRS_17,six-mo,In lab
0.410632331193172,0.597425809296657,0.182247217672308,SRS_18,six-mo,In lab
0.260552360950422,0.477424508762734,0.0143120922781022,SRS_19,six-mo,In lab
0.36275170931523,0.560018120498158,0.127210486577499,SRS_20,six-mo,In lab
0.152574384170677,0.381652512404706,-0.0906151433049635,SRS_21,six-mo,In lab
0.606489461808619,0.742483505365223,0.423132665332783,SRS_22,six-mo,In lab
0.488095260791473,0.656285445611588,0.274383643314322,SRS_23,six-mo,In lab
0.358942511989124,0.556319357964116,0.124533975277184,SRS_24,six-mo,In lab
0.324478725453181,0.527303086186825,0.0892925438811774,SRS_25,six-mo,In lab
0.588516750079957,0.729680367358519,0.39990236575017,SRS_26,six-mo,In lab
0.441104802671091,0.620820668720958,0.218025454492181,SRS_27,six-mo,In lab
0.2298507490702,0.451851837660096,-0.0184451399331401,SRS_28,six-mo,In lab
0.559458006794367,0.708769524437794,0.36284520521729,SRS_29,six-mo,In lab
0.293634492679798,0.504580874601726,0.0501963591175681,SRS_30,six-mo,In lab
0.494099638480747,0.660255815192786,0.283075854324077,SRS_31,six-mo,In lab
0.478972127039611,0.648090854550807,0.266832050921632,SRS_32,six-mo,In lab
0.49122788435219,0.657395318166996,0.281383444133445,SRS_33,six-mo,In lab
0.503464216737704,0.667726879730467,0.293137106839873,SRS_34,six-mo,In lab
0.498057005239542,0.662530283508221,0.289507476016045,SRS_35,six-mo,In lab
0.584177314146208,0.726574274477498,0.394329343836465,SRS_36,six-mo,In lab
0.372859733655096,0.567828753976476,0.139084317376612,SRS_37,six-mo,In lab
0.37874098032008,0.570704426549636,0.149966620421696,SRS_38,six-mo,In lab
0.577241975121496,0.721490367802864,0.385772674208709,SRS_39,six-mo,In lab
0.38056988129281,0.572662285803403,0.150836206644306,SRS_40,six-mo,In lab
0.302334220244208,0.511654585984077,0.0597361965516976,SRS_41,six-mo,In lab
0.109146058559647,0.347714983693303,-0.142402497068997,SRS_42,six-mo,In lab
0.622103841629648,0.75352695968049,0.443511048319826,SRS_43,six-mo,In lab
0.16013869201535,0.392423133002318,-0.0909486848548359,SRS_44,six-mo,In lab
0.266935815241719,0.482696522588637,0.0211883232139584,SRS_45,six-mo,In lab
0.378605221261993,0.572493287138153,0.145275406575765,SRS_46,six-mo,In lab
0.374271498290186,0.569092075311563,0.140321414742655,SRS_47,six-mo,In lab
0.497494036271885,0.663291506164508,0.285833110438286,SRS_48,six-mo,In lab
0.505747096206413,0.66879527875645,0.297646815305119,SRS_49,six-mo,In lab
0.153305204136685,0.386493488440416,-0.0979197999412787,SRS_50,six-mo,In lab
0.449596125896575,0.625966737145429,0.23147139626053,SRS_51,six-mo,In lab
0.437300401322373,0.617917119548266,0.213526062568516,SRS_52,six-mo,In lab
0.659271099275678,0.779299475529666,0.493461750972017,SRS_53,six-mo,In lab
0.230179144034857,0.452127284123291,-0.0180974832253042,SRS_54,six-mo,In lab
0.634559306131459,0.762099566780032,0.460310819870419,SRS_55,six-mo,In lab
0.236686372962303,0.45757675481613,-0.0111965070717165,SRS_56,six-mo,In lab
0.555315157137432,0.705766902283659,0.357611822850259,SRS_57,six-mo,In lab
0.481927712048018,0.651672317051198,0.266902857803433,SRS_58,six-mo,In lab
0.461329115567886,0.636174386844798,0.242102646057598,SRS_59,six-mo,In lab
0.635733496669648,0.76310672002494,0.461450457309566,SRS_60,six-mo,In lab
0.303079427000358,0.508216607061984,0.0694250693393073,SRS_61,six-mo,In lab
0.411765430870277,0.598301441970737,0.183566929116082,SRS_62,six-mo,In lab
0.476673437124919,0.647732432140515,0.260549964906275,SRS_63,six-mo,In lab
0.598667733656168,0.736923700444791,0.412993320325227,SRS_64,six-mo,In lab
0.441798639238395,0.621349683643163,0.218847052871617,SRS_65,six-mo,In lab
